Dates,Week_Number,School_Open,School_Close,TenPM_Closing,SixPM_Closing,FivePM_Closing,SevenPM_Closing,ElevenPM_Closing,EightPM_Closing,In_OutDoor_Wedding,Only_Outdoor_Wedding,Complete_Wedding_Ban,Lockdown_Weekends,Specific_Day_Sector_Lockdown,SectorWise_Lockdown,Complete_Dinning_Ban,Outdoor_Dinning_Only,Delivery_Only,Only_Outdoor_Till_TenPM,Iftar_1159PM,Indoor_Outdoor_Dinning,Complete_Transport_Ban,Intra_City,FiftyPercent_Tranport,SeventyPercent_Transport,Percentage_Cases,Comm_Cases,Cases,Comm_Deaths,Deaths
"Mar, 8th - 14th 2021",48,,,,,,,,,,,,,,,,,,,,,,,,,4.813374635,45519,2191,508,16
"Mar, 15th - 21st 2021",49,,1,1,,,,,,,1,,1,,,,1,,,,,,,,,7.763571578,47710,3704,524,19
"Mar, 22nd -28th 2021",50,,1,1,,,,,,,1,,,,,,1,,,,,,,,,8.130081301,51414,4180,543,16
"Mar, 29th - Apr, 4th 2021",51,,1,1,,,,,,,1,,,,,,,,,1,,,,,,9.563981725,55594,5317,559,20
"Apr, 5th - 11th 2021",52,,1,1,,,,,,,1,,,,,,,,,1,,,,,,7.862290883,60911,4789,579,28
"Apr, 12th - 18th 2021",53,,1,,1,,,,,,,1,,,1,,,,,,,,,1,,5.869101979,65700,3856,607,29
"Apr, 19th - 25th 2021",54,,1,,,,1,,,,,1,,,,,,,,,,,,1,,4.924089942,69556,3425,636,24
"Apr, 26th - May 2nd 2021",55,,1,,,,,,1,,,1,,,,,,,,,,,,1,,3.98870939,72981,2911,660,31
"May, 3rd - 9th 2021",56,,1,,,,,,,,,,,,1,,,1,,,,1,,,,2.74337216,75892,2082,691,17
"May, 10th - 16th 2021",57,,1,,,,,,,,,,,,,,,1,,,,1,,,,1.473568112,77974,1149,708,23
"May, 17th - 22nd 2021",58,,1,,,,,,,,,,,,,,,,,,,,,1,,1.502723608,79123,1189,731,14
"May, 24th - 30th 2021",59,,1,,,,,,,,,,,,,,1,,,,,,,1,,1.001095727,80312,804,745,12
"May, 31st - Jun, 6th 2021",60,,1,,,,,,,,,,,,,,1,,,,,,,1,,0.719956605,81116,584,757,8
"Jun, 7th - 13th 2021",61,1,,,,,,,,,,,,,,,1,,,,,,,1,,0.488372093,81700,399,765,6
"Jun, 14th - 20th 2021",62,1,,,,,,,,,,,,,,,,,,,,,,1,,0.2984202,82099,245,771,4
"Jun, 21st - 27th 2021",63,,1,,,,,,,,,,,,,,,,,,,,,,,0.268386282,82344,221,775,1
"Jun, 28th - Jul, 4th 2021",64,,1,,,,,,,1,,,,1,,,,,,,1,,,,,0.425119603,82565,351,776,3
"Jul, 5th - 11th 2021",65,,1,,,,,,,1,,,,,1,,,,,,1,,,,1,0.881615129,82916,731,779,4
"Jul, 12th -  18th 2021",66,,1,,,,,,,1,,,,,,,,,,,1,,,,1,1.285162648,83647,1075,783,10
"Jul, 19th - 25th 2021",67,,1,,,,,,,1,,,,1,,,,,,,1,,,,1,1.248790161,84722,1058,793,10
"Jul, 26th - Aug, 1st 2021",68,,1,,,,,,,,1,,,,1,,,,,,1,,,,1,2.237118209,85780,1919,803,11
"Aug, 2nd - 8th 2021",69,,1,,,1,,,,,1,,1,,,,1,,,,,,,,,3.197299855,87699,2804,814,17
"Aug, 9th - 15th 2021",70,,1,,1,,,,,,1,,1,,,,1,,,,,,,1,,3.624189253,90503,3280,831,20
"Aug, 16th - 22nd 2021",71,,1,,,,1,,,,1,,1,,,,1,,,,,,,1,,2.395956623,93783,2247,851,10
"Aug, 23rd - 29th 2021",72,,1,,,,,,1,,1,,1,,,,1,,,,,,,1,,2.82099344,96030,2709,861,12
"Aug, 30th - Sep,5th 2021",73,,1,,1,,,,,,1,,1,,,,1,,,,,,,1,,2.044784736,98739,2019,873,14
"Sep, 6th - 12th 2021",74,1,,,,,,,,,1,,,,1,,1,,,,,,,1,,1.845014788,100758,1859,887,15
"Sep, 13th - 19th 2021",75,1,,,,,,1,,,,,,,1,,,,,,,,1,,,1.458822612,102617,1497,902,3
"Sep, 20th - 26th 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sep, 27th - Oct, 3rd 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
